Invoice_ID,month,Product_Type,Quantity,Unit_Price,Total_Sale,Customer_Type,Location,Payment_Mode,Service_Type
INV00001,January,Accessories,4,1060,4240,Institution,Suburbs,Cash,New Purchase
INV00004,January,Accessories,2,666,1332,Business,Suburbs,Card,New Purchase
INV00006,January,Accessories,3,287,861,Business,Suburbs,Online,New Purchase
INV00035,January,Accessories,3,234,702,Institution,Suburbs,Cash,New Purchase
INV00036,January,Accessories,2,1304,2608,Institution,Downtown,Cash,New Purchase
INV00037,January,Accessories,4,1785,7140,Institution,Suburbs,Online,New Purchase
INV00039,January,Accessories,2,1221,2442,Business,Industrial Area,Cash,New Purchase
INV00048,January,Accessories,4,1216,4864,Business,Uptown,Card,New Purchase
INV00051,January,Accessories,3,1276,3828,Household,Industrial Area,Online,New Purchase
INV00054,January,Accessories,4,579,2316,Business,Downtown,Card,New Purchase
INV00058,January,Accessories,1,720,720,Household,Uptown,Cash,New Purchase
INV00064,January,Accessories,1,578,578,Business,Downtown,Online,New Purchase
INV00072,January,Accessories,4,925,3700,Institution,Industrial Area,Cash,New Purchase
INV00074,January,Accessories,1,1962,1962,Business,City Center,Cash,New Purchase
INV00091,January,Accessories,1,1383,1383,Business,Downtown,Cash,New Purchase
INV00097,January,Accessories,4,1251,5004,Household,City Center,Cash,New Purchase
INV00100,January,Accessories,2,1554,3108,Household,City Center,Online,New Purchase
INV00103,January,Accessories,2,1448,2896,Business,Industrial Area,Cash,New Purchase
INV00104,January,Accessories,1,1600,1600,Institution,Uptown,Card,New Purchase
INV00108,January,Accessories,1,517,517,Institution,City Center,Cash,New Purchase
INV00112,January,Accessories,4,1831,7324,Business,Uptown,Online,New Purchase
INV00129,January,Accessories,4,1933,7732,Household,Downtown,Cash,New Purchase
INV00141,January,Accessories,4,1572,6288,Household,Industrial Area,Online,New Purchase
INV00144,January,Accessories,2,1734,3468,Institution,Industrial Area,Cash,New Purchase
INV00145,January,Accessories,3,1371,4113,Household,Uptown,Card,New Purchase
INV00153,January,Accessories,2,823,1646,Business,Downtown,Cash,New Purchase
INV00162,January,Accessories,4,351,1404,Household,Uptown,Cash,New Purchase
INV00164,January,Accessories,4,1896,7584,Household,Suburbs,Online,New Purchase
INV00167,January,Accessories,4,453,1812,Household,Suburbs,Cash,New Purchase
INV00168,January,Accessories,3,1335,4005,Institution,City Center,Card,New Purchase
INV00171,January,Accessories,4,1077,4308,Business,Suburbs,Cash,New Purchase
INV00179,January,Accessories,4,1615,6460,Institution,Industrial Area,Cash,New Purchase
INV00181,January,Accessories,1,839,839,Institution,Uptown,Online,New Purchase
INV00187,January,Accessories,3,637,1911,Business,Downtown,Cash,New Purchase
INV00188,January,Accessories,4,1506,6024,Business,Downtown,Card,New Purchase
INV00189,January,Accessories,3,425,1275,Household,Uptown,Cash,New Purchase
INV00195,January,Accessories,4,1272,5088,Household,Uptown,Online,New Purchase
INV00197,January,Accessories,2,676,1352,Household,Uptown,Cash,New Purchase
INV00206,January,Accessories,3,452,1356,Household,City Center,Cash,New Purchase
INV00215,January,Accessories,3,1161,3483,Business,Uptown,Cash,New Purchase
INV00224,January,Accessories,4,1729,6916,Institution,Suburbs,Card,New Purchase
INV00226,January,Accessories,1,219,219,Household,Uptown,Online,New Purchase
INV00242,January,Accessories,4,1203,4812,Institution,Downtown,Cash,New Purchase
INV00243,January,Accessories,4,204,816,Business,Downtown,Cash,New Purchase
INV00246,January,Accessories,3,1135,3405,Household,Suburbs,Cash,New Purchase
INV00247,January,Accessories,4,855,3420,Institution,Uptown,Online,New Purchase
INV00248,January,Accessories,1,569,569,Household,City Center,Cash,New Purchase
INV00251,January,Accessories,1,319,319,Business,Suburbs,Cash,New Purchase
INV00253,January,Accessories,3,1569,4707,Business,Uptown,Cash,New Purchase
INV00257,January,Accessories,3,1616,4848,Household,Suburbs,Cash,New Purchase
INV00260,January,Accessories,3,1001,3003,Institution,Suburbs,Online,New Purchase
INV00261,January,Accessories,4,1861,7444,Business,Uptown,Cash,New Purchase
INV00265,January,Accessories,1,903,903,Business,Industrial Area,Cash,New Purchase
INV00266,January,Accessories,3,780,2340,Institution,Industrial Area,Card,New Purchase
INV00272,January,Accessories,1,1508,1508,Business,Downtown,Online,New Purchase
INV00275,January,Accessories,3,1208,3624,Household,City Center,Card,New Purchase
INV00276,January,Accessories,2,1973,3946,Household,Downtown,Card,New Purchase
INV00277,January,Accessories,1,1427,1427,Institution,Downtown,Online,New Purchase
INV00317,February,Accessories,4,1771,7084,Institution,Downtown,Online,New Purchase
INV00325,February,Accessories,1,261,261,Institution,Industrial Area,Cash,New Purchase
INV00330,February,Accessories,1,1456,1456,Household,Downtown,Online,New Purchase
INV00331,February,Accessories,3,275,825,Household,Suburbs,Cash,New Purchase
INV00341,February,Accessories,1,1916,1916,Household,Suburbs,Online,New Purchase
INV00347,February,Accessories,3,857,2571,Institution,City Center,Online,New Purchase
INV00354,February,Accessories,3,1397,4191,Business,Suburbs,Cash,New Purchase
INV00355,February,Accessories,1,1391,1391,Household,Suburbs,Online,New Purchase
INV00356,February,Accessories,1,1145,1145,Institution,Downtown,Cash,New Purchase
INV00361,February,Accessories,1,1565,1565,Institution,City Center,Online,New Purchase
INV00366,February,Accessories,4,1638,6552,Institution,City Center,Online,New Purchase
INV00378,February,Accessories,3,1224,3672,Business,Uptown,Online,New Purchase
INV00381,February,Accessories,1,1414,1414,Household,City Center,Cash,New Purchase
INV00382,February,Accessories,4,1592,6368,Institution,Suburbs,Card,New Purchase
INV00385,February,Accessories,2,1779,3558,Institution,Industrial Area,Card,New Purchase
INV00389,February,Accessories,4,1450,5800,Institution,City Center,Cash,New Purchase
INV00413,February,Accessories,1,1947,1947,Household,City Center,Online,New Purchase
INV00414,February,Accessories,1,931,931,Household,Uptown,Cash,New Purchase
INV00436,February,Accessories,1,604,604,Household,Downtown,Online,New Purchase
INV00444,February,Accessories,1,1301,1301,Business,City Center,Card,New Purchase
INV00448,February,Accessories,1,687,687,Institution,Uptown,Online,New Purchase
INV00449,February,Accessories,4,233,932,Institution,City Center,Online,New Purchase
INV00457,February,Accessories,4,588,2352,Business,Uptown,Card,New Purchase
INV00462,February,Accessories,1,1052,1052,Institution,Industrial Area,Card,New Purchase
INV00470,February,Accessories,1,365,365,Institution,City Center,Cash,New Purchase
INV00471,February,Accessories,1,1183,1183,Household,Downtown,Online,New Purchase
INV00479,February,Accessories,2,1997,3994,Business,Suburbs,Card,New Purchase
INV00488,February,Accessories,3,1597,4791,Business,City Center,Card,New Purchase
INV00492,February,Accessories,4,1418,5672,Household,Suburbs,Cash,New Purchase
INV00511,February,Accessories,1,536,536,Business,Suburbs,Online,New Purchase
INV00518,February,Accessories,2,1439,2878,Institution,Industrial Area,Card,New Purchase
INV00521,February,Accessories,3,1535,4605,Household,City Center,Card,New Purchase
INV00533,February,Accessories,1,344,344,Business,Uptown,Online,New Purchase
INV00538,February,Accessories,1,308,308,Household,Industrial Area,Card,New Purchase
INV00548,February,Accessories,1,1600,1600,Business,Industrial Area,Online,New Purchase
INV00550,February,Accessories,1,861,861,Household,Suburbs,Online,New Purchase
INV00551,February,Accessories,2,1805,3610,Institution,Uptown,Cash,New Purchase
INV00557,February,Accessories,3,442,1326,Institution,City Center,Cash,New Purchase
INV00562,February,Accessories,4,274,1096,Institution,Industrial Area,Card,New Purchase
INV00563,February,Accessories,4,845,3380,Business,Industrial Area,Online,New Purchase
INV00572,March,Accessories,2,519,1038,Institution,Downtown,Online,New Purchase
INV00576,March,Accessories,1,1101,1101,Household,Uptown,Online,New Purchase
INV00580,March,Accessories,3,1873,5619,Business,Suburbs,Online,New Purchase
INV00585,March,Accessories,1,528,528,Business,Uptown,Online,New Purchase
INV00587,March,Accessories,3,1773,5319,Household,Suburbs,Online,New Purchase
INV00592,March,Accessories,3,1360,4080,Institution,Uptown,Online,New Purchase
INV00595,March,Accessories,1,1519,1519,Business,Downtown,Card,New Purchase
INV00617,March,Accessories,4,753,3012,Household,Uptown,Cash,New Purchase
INV00625,March,Accessories,1,1220,1220,Business,Uptown,Cash,New Purchase
INV00626,March,Accessories,1,1634,1634,Business,Uptown,Card,New Purchase
INV00628,March,Accessories,2,395,790,Institution,Industrial Area,Card,New Purchase
INV00633,March,Accessories,4,214,856,Business,Industrial Area,Online,New Purchase
INV00636,March,Accessories,4,1908,7632,Household,Downtown,Card,New Purchase
INV00638,March,Accessories,3,294,882,Business,Suburbs,Cash,New Purchase
INV00642,March,Accessories,1,1883,1883,Institution,City Center,Cash,New Purchase
INV00645,March,Accessories,2,1357,2714,Business,Suburbs,Online,New Purchase
INV00646,March,Accessories,4,222,888,Business,Downtown,Online,New Purchase
INV00648,March,Accessories,2,562,1124,Business,City Center,Online,New Purchase
INV00651,March,Accessories,2,1184,2368,Institution,Suburbs,Card,New Purchase
INV00652,March,Accessories,1,1846,1846,Business,Downtown,Card,New Purchase
INV00654,March,Accessories,3,1683,5049,Institution,Downtown,Card,New Purchase
INV00655,March,Accessories,4,1547,6188,Institution,Industrial Area,Cash,New Purchase
INV00658,March,Accessories,2,1208,2416,Household,Industrial Area,Online,New Purchase
INV00659,March,Accessories,4,1601,6404,Household,Downtown,Online,New Purchase
INV00670,March,Accessories,3,570,1710,Household,City Center,Cash,New Purchase
INV00671,March,Accessories,4,860,3440,Institution,Downtown,Card,New Purchase
INV00675,March,Accessories,2,1136,2272,Business,Suburbs,Card,New Purchase
INV00677,March,Accessories,4,736,2944,Institution,Industrial Area,Online,New Purchase
INV00681,March,Accessories,3,617,1851,Household,City Center,Card,New Purchase
INV00685,March,Accessories,4,224,896,Business,City Center,Online,New Purchase
INV00688,March,Accessories,1,484,484,Household,Industrial Area,Cash,New Purchase
INV00691,March,Accessories,1,1272,1272,Household,Downtown,Cash,New Purchase
INV00692,March,Accessories,3,1048,3144,Institution,Uptown,Cash,New Purchase
INV00697,March,Accessories,3,1151,3453,Business,Uptown,Cash,New Purchase
INV00705,March,Accessories,1,789,789,Household,Suburbs,Cash,New Purchase
INV00709,March,Accessories,2,1146,2292,Business,City Center,Online,New Purchase
INV00710,March,Accessories,3,1867,5601,Household,Suburbs,Cash,New Purchase
INV00725,March,Accessories,1,1827,1827,Institution,Industrial Area,Card,New Purchase
INV00727,March,Accessories,2,295,590,Institution,Industrial Area,Online,New Purchase
INV00736,March,Accessories,2,974,1948,Household,Industrial Area,Online,New Purchase
INV00737,March,Accessories,1,350,350,Household,Suburbs,Card,New Purchase
INV00741,March,Accessories,4,281,1124,Business,City Center,Card,New Purchase
INV00743,March,Accessories,2,1222,2444,Business,Uptown,Cash,New Purchase
INV00744,March,Accessories,2,906,1812,Institution,Industrial Area,Online,New Purchase
INV00745,March,Accessories,3,1342,4026,Household,Suburbs,Card,New Purchase
INV00748,March,Accessories,2,1276,2552,Business,Industrial Area,Cash,New Purchase
INV00756,March,Accessories,2,1338,2676,Business,Industrial Area,Cash,New Purchase
INV00757,March,Accessories,1,725,725,Business,Uptown,Cash,New Purchase
INV00759,March,Accessories,2,436,872,Business,Uptown,Card,New Purchase
INV00764,March,Accessories,1,1332,1332,Institution,Uptown,Online,New Purchase
INV00779,March,Accessories,1,1020,1020,Business,Suburbs,Online,New Purchase
INV00780,March,Accessories,3,1105,3315,Institution,Downtown,Cash,New Purchase
INV00782,March,Accessories,2,1180,2360,Institution,Suburbs,Cash,New Purchase
INV00783,March,Accessories,4,901,3604,Business,Uptown,Cash,New Purchase
INV00793,March,Accessories,2,254,508,Institution,Uptown,Cash,New Purchase
INV00795,March,Accessories,2,605,1210,Business,Suburbs,Cash,New Purchase
INV00798,March,Accessories,2,1771,3542,Household,City Center,Card,New Purchase
INV00800,March,Accessories,3,1157,3471,Household,Industrial Area,Card,New Purchase
INV00805,March,Accessories,1,912,912,Household,City Center,Online,New Purchase
INV00817,March,Accessories,1,1267,1267,Household,Downtown,Cash,New Purchase
INV00819,March,Accessories,1,529,529,Institution,City Center,Online,New Purchase
INV00820,March,Accessories,1,1720,1720,Household,City Center,Cash,New Purchase
INV00822,March,Accessories,2,1815,3630,Household,Industrial Area,Cash,New Purchase
INV00825,March,Accessories,2,1175,2350,Business,Suburbs,Cash,New Purchase
INV00833,March,Accessories,2,590,1180,Institution,Downtown,Online,New Purchase
INV00850,March,Accessories,3,563,1689,Institution,Downtown,Cash,New Purchase
INV00851,March,Accessories,3,1750,5250,Business,Suburbs,Cash,New Purchase
INV00852,March,Accessories,4,696,2784,Business,Downtown,Online,New Purchase
INV00855,April,Accessories,1,215,215,Business,Industrial Area,Card,New Purchase
INV00857,April,Accessories,2,1673,3346,Institution,Uptown,Online,New Purchase
INV00861,April,Accessories,1,1364,1364,Business,Suburbs,Card,New Purchase
INV00862,April,Accessories,2,1639,3278,Business,Industrial Area,Online,New Purchase
INV00867,April,Accessories,1,947,947,Institution,Downtown,Cash,New Purchase
INV00868,April,Accessories,1,471,471,Household,Industrial Area,Cash,New Purchase
INV00870,April,Accessories,3,576,1728,Institution,Downtown,Online,New Purchase
INV00876,April,Accessories,3,1652,4956,Institution,City Center,Card,New Purchase
INV00877,April,Accessories,2,575,1150,Business,Uptown,Online,New Purchase
INV00878,April,Accessories,2,523,1046,Household,Suburbs,Online,New Purchase
INV00882,April,Accessories,1,784,784,Household,Industrial Area,Cash,New Purchase
INV00885,April,Accessories,1,260,260,Institution,City Center,Online,New Purchase
